" der Gebrauch, -¨e",use
"die Portion, -en",portion
"die Post, -en",post office
"die Praline, -n",chocolate with cream or alcohol
"die Praxis, Praxen",doctor´s practice
"die Produktionsabteilung, -en",production department
"die Prägung, -en","imprint, minting, coinage"
"die Puppe, -n",doll
"die Pute, -n",turkey
"die Pyramide, -n",pyramid
"die Quittung, -en","bill from car repair, etc"
"die Realität, -e",reality
"die Rechtsabteilung, -en",legal department
"die Regel, -n",rules
"die Reihe, -n","row, line"
"die Reihenfolge, -n","order, sequence"
"die Reinigung, -en",dry cleaners
"die Reise, -n","trip, journey"
die Reiseunterlagen (pl),travel documents
"die Reklamation, -en","complaint, query"
"die Reklame, -n",advertising
"die Rettung, -en",rescue
"die Richtung, -en",direction
"die Robbe, -n",a seal
"die Routine, x",routine
"die Ruhe, x","quiet, calm, peace"
die Rösti (pl),"fried grate potatoes, i.e. hash"
"die Rübe, -n",turnip
"die Rückflugticket, -s",a round trip ticket
"die Rüstung, -en","arms, weapons"
"die Sache, -n","thing, things"
"die Sahne, -",cream
"die Salbe, -n","salve, ointment"
"die Salbung, -en",anointing
"die Sandgrube, -n",sand pit
"die Schachtel, -n",small box
"die Schale, -n",small bowl
"die Schar, -en",band of people
"die Schlange, -n","snake, serpent, line of people"
"die Schminke, -n",makeup
"die Schnecke, -n",snail
"die Schokolade, -n",chocolate
"die Scholle, -n",(ice) floe
"die Schorle, -n",spritzer
"die Schublade, -n",drawer
"die Schule, -n",school
"die Schulter, -n",shoulder
"die Schwelle, -n","threshhold - psych, phys, door threshhold"
"die Schwerathletik, -x",contact sports
"die Schwester, -n",sister
"die Serviette, -n",napkin
"die Siebensachen, (pl)",belongings
"die Socke, -n",socks
"die Sorge, -n",worry
"die Soße, -n",sauce
"die Spalte, -n",column
"die Spielzeugkiste, -n",toybox
"die Spinne, -n",spider
"die Sportskanone, -n",sports star
"die Sprechstundenhilfe, -n",receptionist
"die Spritze, -n","syringe, shot"
"die Spur, -en","track, trace, sign"
"die Stange, -n","pole, bar"
"die Startbahn, -en, die Landebahn, -en",runway
"die Station, -en","station, stop"
"die Stimme, -n","voice, part"
"die Stirn, -en",forehead
"die Strafe, -n","penalty, punishment"
"die Strahlung, -en",radiation
"die Straßenbahn, -en","tram, streetcar"
"die Streichholzschachtel, -n",matchbox
"die Stäbchen, -",chopsticks
"die Suppenkelle, -n",soup ladle
"die Säge, -n",a saw
"die Säuregurke, -n",pickles
"die Sünde, -",sin
"die Süße, -",sweets
"die Süßigkeit, -en",sweets
"die Tablette, -n","pills, tablets"
"die Tafel, -n",bar of something
"die Tante, -n",aunt
"die Tasche, -n","pocket, bag"
"die Tassen, -n","coffee, tea cup"
"die Taucherbrille, -n",diving goggles
"die Tenne, -n",threshing floor
"die Theologie, -n",theology
"die Tiefkühltruhe, -n","refrigerator chest - horizontal, deep freeze"
"die Tonne, -n",barrel
"die Torte, -n",fruit pie
"die Treppe, -n",stairs
"die Träne, -n",tear
"die Tüte, -n","bag, cone"
"die Umfrage, -n",job Interview
"die Ungelegenheiten, (pl)",inconvenience (un-opportunity)
"die Universität, -en",university
die Unsrigen (pl),our people
"die Unterkunft, -e",accommodation
"die Unterlage, -n",documents
"die Untertasse, -n",saucer
"die Urgroßmutter, -n",grandmother
"die Verabredung, -en","arrangement, private appointment"
"die Verführung, -en","seduction, temptation"
"die Vergangenheit, -x","past tense, past time"
"die Vermittlung, -en","mediation, intercession"
"die Versammlung, -en",assembly
"die Versichertenkarte, -n",insurance card
"die Versicherung, -en",insurance
"die Versklavung, -en",enslavement
"die Versorgung, -en","care, provision"
"die Verspottung, -en",mockery
"die Verspätung, -en",delay
"die Verstörung, -en",destruction
"die Verwaltung, -en",administration (not in schools)
"die Verzeihung, -en",forgiveness
"die Videothek, -en",video store
"die Vorschrift, -en","commandment, directive"
"die Vorsicht, -","caution, care"
"die Vorspeise, -n",appetizer
"die Vorstellung, -en","idea, picture"
"die Vorwahl, -en",preliminary election
"die Waffe, -n",weapon
"die Wahl, -en",choice
"die Wahrscheinlichkeit, -en","probability, likelihood"
"die Wand, -¨e",wall
"die Wange, -n",cheeks
"die Warnung, -en",warning
"die Wassermelone, -n",watermelon
"die Weinbergschnecke, -n",snail
"die Weise, -n","way, manner, fashion"
"die Weisheit, -",wisdom
"die Weite, -n",width
die Wieder belebungsversuche,"rescussitation, CPR"
die Wiedervereinigung,unification day
"die Wimper, -n",eyelash
"die Windmühle, -n",windmill
"die Windpocken, -",chickenpox
"die Witwe, -n",widow
"die Woche, -n",week
"die Wohnung, -en","apartment, house"
"die Wolle, -n",wool
"die Wunde, -n",wound
"die Wurst, -¨e",sausage
"die Wurzel, -n","root, square root"
"die Wäsche, -n",laundry
"die Wäscheleine, -n",clothesline
"die Würde, -n",dignity
"die Zacke, -n der Zacken, -","point, jagged peak"
"die Zahnbürste, -n",toothbrush
"die Zauberei, -en",wizardry
"die Zehe, -n",toes
"die Zitrone, -n",citrus
"die Zulieferfirma, -en","ancilliary company, supplier"
"die Zunge, -n",tounge
"die Zuversicht, x","assurance, confidence"
"die Zwiebeln, -",onion
"die Überraschung, -en",a surprise
"die Übersetzung, -en",translation
"die Übertretung, -en","trespass, violation"
